title,question,answers
Cubism,What was the name of the show that introduced Cubism to the USA?,Armory Show
Namibia,Where do a large minority of whites trace their Namibian roots to?,German settlers
Rajasthan,How many tigers were relocated to Sariska?,five tigers
Copyright_infringement,What does DRM and anti-circumvention laws do?,limit the amount of control consumers have
Yale_University,Why did Gaddis Smith believe John Kerry led Yale's Political Union Liberal Party?,an ethos of organized activity
British_Isles,"Around 12,000 BC, Great Britain was still a peninsula on what continent?",European continent.
Botany,In what plant were cells first discovered by microscope?,cork
Bern,Which specific party has the most members in the City Parliament?,Social Democratic Party
"John,_King_of_England",What heavily influenced nineteenth-century fictional depictions of John?,Ivanhoe
Treaty,Modern treaty law can be compared in function and effectiveness to the historical Articles of Confederation by comparing the pre-Constitutional United States Federal government with what modern institution?,the UN
Philosophy_of_space_and_time,What does the increase in the number of objects in the universe do to the curvature of the water?,increases the curvature
Carnival,"What does the Indian word ""Intruz"" mean?",swindler
MP3,What kind of music is sold by these companies?,unrestricted
Antenna_(radio),Are essential properties of an antenna changed based on what fungtion they are performing,the same
Iran,Who was the last Archaemenid Emperor at the time of its defeat by Alexander the Great?,Darius III
Catalan_language,What form has the same /e/ as Central and Western?,Balearic
New_York_City,How many New York state parks are within New York City?,seven
Spectre_(2015_film),Which Bond novel first featured Spectre?,Thunderball.
Canadian_football,On which date was the Canadian Junior Football League formed?,"May 8, 1974"
Steam_engine,"Along with fuel sources, what concern has contributed to the development of the Advanced Steam movement?","['pollution', 'Advanced Steam movement']"
Arnold_Schwarzenegger,How many weeks did Schwarzenegger spend getting ready for the 1980 Mr. Olympia contest?,seven
Czech_language,How many graphemes does Czech have?,thirty-one
Zhejiang,Who does Shiji claim that its leaders were descended from?,Yu the Great
Antenna_(radio),How would you place the conductor in relation to the signal you wished to obtain?,perpendicular
Buckingham_Palace,Who convinced the king to lock the wine cellars?,David Lloyd George
Renewable_energy_commercialization,What motivated the incentive to use 100 percent renewable energy?,global warming
Kanye_West,On what day was the funeral of Donda West?,"November 20, 2007"
Samoa,What are pates?,wooden drums
Kathmandu,"What beverage is consumed by more people in Kathmandu, coffee or tea?",tea
Idealism,Whose will did Hegel believe should prevail over that of the individual?,State
University_of_Kansas,What kind of software is Lynx?,text based web browser
Presbyterianism,What other name is used when referring to the origins of the Presbyterian Church?,Calvinism
Nanjing,How long is the Port of Nanjing?,98 kilometres (61 mi) in length
Washington_University_in_St._Louis,What local businessman help provide support for the Washington University?,John O'Fallon
Friedrich_Hayek,"During his time in Los Angeles, what was the topic of the seminars Hayek taught not related to his new book?",philosophy of social science
Portugal,Which two Portuguese wines are especially enjoyed around the world?,Port and Madeira
Federal_Bureau_of_Investigation,What agency had Dr. T.R.M. Howard criticized?,FBI
Muslim_world,How many languages are spoken by Muslims?,hundreds
Warsaw,When were most of the places of religious worship destroyed in Warsaw?,1944
Military_history_of_the_United_States,"What country supplied advisors, pilots, and war materiel to North Korea?",the Soviet Union
Eritrea,What do Eritrean's offer a person who declines coffee?,most likely tea
Zhejiang,"Along with Manchuria, where did trade reach as far as?",Funan
Sumer,What was the primary purpose of oxen for Sumerians? ,beasts of burden
Beyoncé,Which campaign does Beyoncé contribute to that encourages leadership in females?,Ban Bossy
Child_labour,What can children do in countries were trading is involved?,"children can start trading in small items at an early age, often in the company of family members or of peers"
Hunting,What was hunting in North American in the 19th century used to supplement? ,food supplies
Hunting,What did large herds of bison attract?,market hunters
Portugal,What is the oldest medical college in Asia?,the Escola Médico-Cirúrgica of Goa
War_on_Terror,Which war gave birth to al-Qaeda?,the Soviet war in Afghanistan
Dissolution_of_the_Soviet_Union,Who was fired by Gorbachev causing riots?,Dinmukhamed Konayev
Himachal_Pradesh,What does HIma mean in Sanskirt?,snow
Adolescence,Adolescent cultural differences are especially visible in which type of autonomy?,Behavioral
Southampton,What was the former name of the Volvo Ocean Race?,the Whitbread Around the World Yacht Race
Modern_history,Who did the Bolsheviks make peace with?,the German Empire
Geography_of_the_United_States,What type of flats compose the Great Basin?,salt flats
New_York_City,When was as African burial ground discovered after the building of new courthouse?,1990s
Everton_F.C.,"How many fans were in attendance during Everton's match against Liverpool on September 18, 1948?","78,299"
Universal_Studios,What sort of films were produced by Red Feather?,low-budget programmers
Gramophone_record,How widespread was the success of CD-4 format? ,even less successful than the two matrixed formats
Black_people,How many East African and black people live in Israel?,"About 150,000"
Nanjing,What is the estimated population of Nanjing during that time?,more than 1.4 million residents
Queen_Victoria,When were Napoleon I remains returned to their resting place at Les Invalides? ,1840
Electric_motor,What is created by contact between parts of the motor?,friction
Red,"In ancient greek, what is coccus referred to as?",Kokkos
Alexander_Graham_Bell,Where was Bell buried?,atop Beinn Bhreagh mountain
Beyoncé,What French composer wrote the original opera ''Carmen'' in the 19th century?,Georges Bizet
Catalan_language,What vowel does Central have a larger occurrence of?,/e/
Imperialism,What does colonialism lack that imperialism has?,"['ideological', 'political focus']"
Chihuahua_(state),What was Hidalgo's occupation?,priest
Madrasa,What term refers to Islamic elementary schools?,maktab
Professional_wrestling,What is one way a match can end?,in a draw
2008_Summer_Olympics_torch_relay,What was stopped due to protest interruptions?,torch relay ceremony
Hanover,How many participants are int he Parade of the Marksmen?,12.000
Association_football,Who decides on who's rewarded points for abandoned games?,individual football associations
Boston,The Boston Symphony Orchestra is a member of what?,Big Five
Pharmaceutical_industry,What type of filing is used before beginning human trials?,Investigational New Drug
Identity_(social_science),A person's identity is defined as the totality of what?,one's self-construal
Beer,What country are the Zargos Mountains located in?,Iran
2008_Summer_Olympics_torch_relay,How many attendants accompanied the flame during it's travels?,30
Dwight_D._Eisenhower,What did Khrushchev demand that Eisenhower do?,apologize
Police,What part of the government did French police work under?,the authority of the monarch
United_States_dollar,In what year did the shift in gold standard occur?,1834
Arnold_Schwarzenegger,In what presidential election year did Schwarzenegger make a name for himself as a prominent Republican?,1988
Freemasonry,All Masonic lodges were forced to close in Iraq in what year?,1965
Civil_disobedience,The Hungarians performed this civil disobedience under the direction of what person?,Ferenc Deák
Dutch_language,"What does ""Hoogduits"" translate to in English?",High Dutch
Beer,What type of water is best for making pale lager?,soft water
Muslim_world,Who is believed to have discovered decagonal quasicrystal geometry?,Medieval Muslim artists
Labour_Party_(UK),WHen was Black Wednesday?,September 1992
Steam_engine,What did Watt add to the steam engine in 1788?,centrifugal governor
